Username,Twitter_Handle,DateTime,Tweet
Senator Ted Cruz,@SenTedCruz,2021-03-05T21:58:12.000Z,What Joe Biden and the Democrats have presented is not a #COVID relief bill – it is a pork bill.
Sen. Marsha Blackburn,@MarshaBlackburn,2021-03-06T18:24:16.000Z,I voted against the Democrats’ $1.9 trillion “#COVID relief” bill. Tennesseans deserve better than this partisan wish list. Only 9% of this bill is COVID-related. The rest is allocated to liberal pet projects and blue state bailouts.
Senator Ted Cruz,@SenTedCruz,2021-03-06T23:33:53.000Z,"I introduced an amendment that would have saved American taxpayers millions and prevented Democrats’ efforts to issue #COVID checks to illegal immigrants.Dems Agree to Provide 'COVID Relief' Checks to Prisoners and Illegal Aliens
Geez.
townhall.com"
Senator Ted Cruz,@SenTedCruz,2021-03-06T00:03:08.000Z,"The Democrats’ bill:
Provides #COVID checks to illegal immigrants & criminals behind bars
Fulfills partisan spending wish lists"
JOHN NICOLSON M.P.,@MrJohnNicolson,2021-03-05T21:56:11.000Z,"Good to know. So given that a Court has now ruled that Boris Johnson knowingly misled Parliament, withheld 100 pages of #Covid documents, and broke the ministerial code when can we expect the 
@ScotTories
 to demand his resignation? Douglas Ross? Baroness?"
carol hedges,@carolJhedges,2021-03-07T09:29:58.000Z,"One of the world’s oldest and most respected medical journals, the BMJ, has published a damning attack on the UK government, saying “Science is being suppressed for political and financial gain” in the mould of “some of history’s worst autocrats and dictators”.

#marr #COVID"
Alan Watson,@DietHeartNews,2021-03-06T13:36:19.000Z,"March 5, 2021, Lester Holt, NBC Evening News, in a flash 10-second clip: ""Obese people are ten times more likely to get sick & die from #Covid."" After jabbering about vaccines every evening for a year, Holt gives us 10 seconds of prevention ignored for ten decades."
Alex Berenson,@AlexBerenson,2021-03-07T04:14:58.000Z,"Here’s 
@aslavitt
 - now advising Joe Biden on #Covid - with one of his patented megathreads. Only this one is special. He licks 
@nygovcuomo
’s shiny boots. And goes out of his way to excuse the nursing home fiasco.

New York has more deaths per-capita than any other state but NJ.Quote Tweet
Andy Slavitt @
@ASlavitt
 · Jul 14, 2020
COVID UPDATE July 13: There are successful examples of taking on COVID-19.

And there is one story like no others. New York. 1/
Show this thread"
Rob Schmitt,@SchmittNYC,2021-03-05T21:09:19.000Z,AZ and WV 100% capacity #covid 
Joyce Campbell,@armadalefarm,2021-03-06T17:06:01.000Z,"Take out coffee and a trip to town. Too much excitement for one day. 
 #COVID"
